RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60	
1	2011-2012 Season	N.J	Final	82	48.7	5.1	0.1	5.2	1.7	0.1	0.1	0.1	0	3992.8	149	159	2.2	26.2	915	2.4	26.3	909	-0.2	420.6	39	11	5.6	45.2	877	1.6	9.4	833	4	423.1	15	24	2.1	12.8	833	3.4	42.7	920	-1.3
2	2011-2012 Season	PIT	Quarter	82	47.8	5.4	0.2	5.4	1.9	0.1	0.1	0.1	0	3920.4	196	169	3	33	909	2.6	27.1	905	0.4	440.6	49	10	6.7	56.5	882	1.4	11.3	880	5.3	440	10	30	1.4	8.9	846	4.1	40.1	898	-2.7
3	2011-2012 Season	MTL		82	46.5	5.9	0.1	6	2.2	0.1	0.2	0.1	0	3814.1	149	160	2.3	27.6	915	2.5	29.8	916	-0.2	485.8	35	8	4.3	47.5	909	1	11.4	913	3.3	495.6	9	35	1.1	9.6	886	4.2	38.1	889	-3.1
4	2011-2012 Season	L.A	Champ	82	47.1	5.5	0.2	6	2.1	0.2	0.1	0.1	0	3858.3	127	122	2	30.7	936	1.9	26.4	928	0.1	450.6	38	2	5.1	45.1	888	0.3	6.3	957	4.8	488.8	9	34	1.1	6.6	833	4.2	49.1	915	-3.1
5	2011-2012 Season	NYR	Conference	82	48.1	5.3	0.2	5.2	1.9	0.1	0.1	0.2	0	3944.4	160	139	2.4	27.8	912	2.1	27.6	923	0.3	437.9	38	4	5.2	43.6	881	0.5	7.7	929	4.7	423.6	8	34	1.1	9.9	886	4.8	46.6	897	-3.7
6	2011-2012 Season	STL	Semi	82	47.7	5	0.1	5.6	2.3	0.1	0.1	0.1	0	3909.7	147	109	2.3	30.2	925	1.7	26	936	0.6	414	40	3	5.8	50.3	885	0.4	6.4	932	5.4	463.2	7	36	0.9	8.4	892	4.7	43	892	-3.8
7	2011-2012 Season	BOS	Quarter	82	49	4.9	0.1	4.8	1.6	0.3	0.2	0.1	0	4016.3	201	152	3	32	906	2.3	29.2	922	0.7	400.4	41	1	6.1	46.6	868	0.1	8.5	982	6	395.2	8	34	1.2	12	899	5.2	49.5	896	-3.9
8	2011-2012 Season	PHX	Conference	82	49	5	0.1	4.9	1.9	0.1	0.1	0	0	4016.6	166	147	2.5	29.8	917	2.2	31.2	930	0.3	407.3	30	6	4.4	40.4	891	0.9	8.1	891	3.5	400.8	6	33	0.9	8.1	889	4.9	55.2	911	-4
9	2011-2012 Season	VAN	Quarter	82	47.3	5.3	0.2	5.7	2.4	0.1	0.1	0.1	0	3881.1	167	139	2.6	30.1	914	2.1	30.1	929	0.4	433	50	5	6.9	56.1	877	0.7	8.9	922	6.2	468.4	7	39	0.9	8.6	896	5	52.4	905	-4.1
10	2011-2012 Season	CAR		82	48.4	5.5	0.2	4.6	1.8	0.1	0.1	0.1	0	3965.1	145	173	2.2	29	924	2.6	32	918	-0.4	449.4	45	4	6	50.2	880	0.5	12	956	5.5	377.9	12	41	1.9	12.7	850	6.5	51.3	873	-4.6
11	2011-2012 Season	CGY		82	48.5	5.2	0.1	4.9	2	0	0.2	0.1	0	3980.9	143	161	2.2	27	920	2.4	30.4	920	-0.3	423.5	45	6	6.4	48.6	869	0.9	7.5	887	5.5	404.3	3	35	0.4	6.5	932	5.2	47.5	891	-4.7
12	2011-2012 Season	COL		82	49	4.3	0	5.7	1.8	0	0.1	0	0	4022.1	142	161	2.1	31	932	2.4	29.5	919	-0.3	356.1	39	4	6.6	54.3	879	0.7	7.6	911	5.9	464.4	5	43	0.6	10.9	940	5.6	40.8	864	-4.9
13	2011-2012 Season	MIN		82	48	4.9	0.1	5.5	2.3	0.1	0.1	0.1	0	3937	118	156	1.8	25.8	930	2.4	30.8	923	-0.6	405.1	34	4	5	48.9	897	0.6	7.4	920	4.4	454	5	43	0.7	6.9	904	5.7	48.8	883	-5
