RK	SEASON	TEAM		GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60
1	2012-2013 Season	BOS	Final	48	49.1	4.1	0	5.5	1.6	0.1	0.2	0.1	0	2357.9	101	80	2.6	32.5	921	2	28.3	928	0.5	199	17	2	5.1	48.2	894	0.6	9.9	939	4.5	266.3	5	19	1.1	13.3	915	4.3	39.4	891	-3.2
2	2012-2013 Season	CHI	Champ	48	48.8	5.2	0.1	4.8	2.1	0.2	0.1	0.1	0	2344.4	112	72	2.9	30.6	906	1.8	25.2	927	1	247.9	19	5	4.6	42.4	891	1.2	7.3	833	3.4	232.1	5	18	1.3	10.3	875	4.7	45.5	898	-3.4
3	2012-2013 Season	OTT	Semi	48	47.9	5.1	0.1	5.7	1.9	0.1	0.1	0.1	0	2301.6	83	76	2.2	32.8	934	2	29.9	934	0.2	245.1	22	1	5.4	52.6	898	0.2	8.3	971	5.1	274	2	19	0.4	9.4	953	4.2	52.1	920	-3.7
4	2012-2013 Season	N.J		48	47.7	5.5	0.3	5.3	2	0.1	0.1	0.1	0	2291.3	69	82	1.8	26.9	933	2.1	22.5	905	-0.3	261.9	23	6	5.3	48.8	892	1.4	8	829	3.9	254.6	11	27	2.6	11.5	776	6.4	37	828	-3.8
5	2012-2013 Season	TOR	Quarter	48	47.2	5	0.2	5.4	1.6	0	0.1	0	0	2267.9	110	103	2.9	26.5	890	2.7	33.7	919	0.2	239.9	27	4	6.8	44.8	849	1	10.8	907	5.8	261.2	1	18	0.2	4.4	947	4.1	41.8	901	-3.9
6	2012-2013 Season	S.J	Semi	48	48.6	5.5	0.1	4.6	2.3	0.1	0.2	0.1	0	2335	78	80	2	30.1	934	2.1	28	927	-0.1	262.2	29	4	6.6	58.1	886	0.9	12.4	926	5.7	222.1	3	19	0.8	6.8	880	5.1	45.9	888	-4.3
7	2012-2013 Season	STL	Quarter	48	48.4	5	0	5.2	2	0.1	0.1	0	0	2321	85	82	2.2	27.4	920	2.1	23.9	911	0.1	241.5	29	5	7.2	48.9	853	1.2	7.2	828	6	250.7	3	21	0.7	6.2	885	5	36.6	863	-4.3
8	2012-2013 Season	CBJ		48	48.3	5.3	0.1	4.9	2.6	0.1	0.1	0.1	0	2319.1	86	84	2.2	25.1	911	2.2	29.8	927	0.1	252.1	19	2	4.5	45.7	901	0.5	5.9	920	4	233.2	3	21	0.8	8	903	5.4	44	877	-4.6
9	2012-2013 Season	CGY		48	49	5.1	0.1	5	1.1	0	0.1	0	0	2351.8	88	127	2.2	27.1	917	3.2	29.5	890	-1	243	29	2	7.2	43.7	836	0.5	5.7	913	6.7	241.5	6	25	1.5	6.2	760	6.2	48.9	873	-4.7
10	2012-2013 Season	PHI		48	46.6	5.6	0.1	5.9	1.8	0	0.3	0.1	0	2237	87	105	2.3	28	917	2.8	29.1	903	-0.5	269.5	35	3	7.8	53.9	855	0.7	6.9	903	7.1	281.8	2	24	0.4	10.4	959	5.1	40.9	875	-4.7
11	2012-2013 Season	EDM		48	47.5	5.3	0.2	6	1.6	0.2	0.1	0	0	2278.1	85	96	2.2	26.9	917	2.5	32.2	922	-0.3	254.3	30	1	7.1	41.1	828	0.2	8.3	971	6.8	288.9	4	27	0.8	7.5	889	5.6	52.8	894	-4.8
12	2012-2013 Season	L.A	Conference	48	48.3	4.9	0.2	5.1	1.9	0	0.2	0.1	0	2318.1	93	84	2.4	30	920	2.2	24.7	912	0.2	237.5	29	1	7.3	45.2	838	0.3	3.8	933	7.1	244.8	2	22	0.5	6.1	920	5.4	42.6	874	-4.9
13	2012-2013 Season	ANA	Quarter	48	49.5	4.2	0.2	5.4	1.7	0	0.1	0.1	0	2374.2	100	76	2.5	26.8	906	1.9	26.7	928	0.6	203.1	27	5	8	56.1	858	1.5	8.6	828	6.5	257.5	5	28	1.2	11.2	896	6.5	45.2	856	-5.4
14	2012-2013 Season	BUF		48	46.6	5.3	0.1	5.4	2.3	0.2	0.2	0.1	0	2237.6	85	94	2.3	27.4	917	2.5	32.9	923	-0.2	256.1	19	7	4.5	45.2	902	1.6	10.8	848	2.8	260	7	31	1.6	8.1	800	7.2	55.2	870	-5.5
15	2012-2013 Season	VAN	Quarter	48	47.6	5.7	0.1	5.6	2.1	0.1	0.2	0	0	2284.2	89	83	2.3	27.7	916	2.2	28.7	924	0.2	271.3	23	3	5.1	43.8	884	0.7	8.6	923	4.4	270.1	1	26	0.2	6.4	966	5.8	44	869	-5.6
16	2012-2013 Season	T.B		48	48.3	5.4	0.2	5.1	1.3	0.1	0.1	0.1	0	2319.2	112	108	2.9	28	897	2.8	30.2	907	0.1	257.6	24	4	5.6	40.1	860	0.9	7.7	879	4.7	242.7	0	23	0	5.7	1000	5.7	47.5	880	-5.7
17	2012-2013 Season	DET	Conference	48	47.4	6	0.2	5.3	1.8	0	0.2	0.1	0	2277.6	80	72	2.1	29.9	929	1.9	27.7	932	0.2	288.7	31	5	6.4	48.4	867	1	8.9	884	5.4	252.6	3	27	0.7	6.2	885	6.4	46.1	861	-5.7
