#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"KARIYA, PAUL",St. Louis,11,199:08,2,13,10,15,31,49,69,6.45,0.60,3.92,3.01,4.52,9.34,14.76,20.79,10.5,68.4,78.9
2,"GABORIK, MARIAN",Minnesota,17,339:53,13,10,7,23,68,77,100,19.12,2.29,1.77,1.24,4.06,12.00,13.59,17.65,46.4,35.7,82.1
3,"SEMIN, ALEXANDER",Washington,62,1192:57,34,45,32,79,223,327,435,15.25,1.71,2.26,1.61,3.97,11.22,16.45,21.88,30.9,40.9,71.8
4,"DATSYUK, PAVEL",Detroit,80,1537:04,32,64,37,96,247,339,441,12.96,1.25,2.50,1.44,3.75,9.64,13.23,17.21,23.5,47.1,70.6
5,"FILATOV, NIKITA",Columbus,8,65:00,4,0,0,4,10,10,13,40.00,3.69,0.00,0.00,3.69,9.23,9.23,12.00,80.0,0.0,80.0
6,"MALKIN, EVGENI",Pittsburgh,82,1846:24,35,78,47,113,289,403,546,12.11,1.14,2.53,1.53,3.67,9.39,13.10,17.74,24.5,54.5,79.0
7,"PARISE, ZACH",New Jersey,82,1538:06,45,49,25,94,364,476,544,12.36,1.76,1.91,0.98,3.67,14.20,18.57,21.22,39.1,42.6,81.7
8,"CROSBY, SIDNEY",Pittsburgh,77,1689:33,33,70,51,103,237,318,387,13.92,1.17,2.49,1.81,3.66,8.42,11.29,13.74,25.6,54.3,79.8
9,"OVECHKIN, ALEX",Washington,79,1817:22,56,54,32,110,526,746,1025,10.65,1.85,1.78,1.06,3.63,17.37,24.63,33.84,34.6,33.3,67.9
10,"RYAN, BOBBY",Anaheim,64,987:43,31,26,13,57,174,240,289,17.82,1.88,1.58,0.79,3.46,10.57,14.58,17.56,37.8,31.7,69.5
11,"CAMMALLERI, MIKE",Calgary,80,1404:19,39,42,21,81,252,327,398,15.48,1.67,1.79,0.90,3.46,10.77,13.97,17.00,37.9,40.8,78.6
12,"BRASSARD, DERICK",Columbus,31,446:13,10,15,8,25,59,75,102,16.95,1.34,2.02,1.08,3.36,7.93,10.08,13.72,28.6,42.9,71.4
13,"GETZLAF, RYAN",Anaheim,81,1630:19,25,66,34,91,227,320,392,11.01,0.92,2.43,1.25,3.35,8.35,11.78,14.43,20.2,53.2,73.4
14,"SCHREMP, ROB",Edmonton,4,54:18,0,3,2,3,3,5,6,0.00,0.00,3.31,2.21,3.31,3.31,5.52,6.63,0.0,60.0,60.0
15,"BRIERE, DANIEL",Philadelphia,29,453:59,11,14,8,25,54,72,97,20.37,1.45,1.85,1.06,3.30,7.14,9.52,12.82,33.3,42.4,75.8
16,"SAVARD, MARC",Boston,82,1601:53,25,63,37,88,213,274,351,11.74,0.94,2.36,1.39,3.30,7.98,10.26,13.15,20.3,51.2,71.5
17,"HOSSA, MARIAN",Detroit,73,1298:33,40,31,18,71,302,406,498,13.24,1.85,1.43,0.83,3.28,13.95,18.76,23.01,38.5,29.8,68.3
18,"HAVLAT, MARTIN",Chicago,81,1410:00,29,48,33,77,249,291,352,11.65,1.23,2.04,1.40,3.28,10.60,12.38,14.98,27.1,44.9,72.0
19,"ELIAS, PATRIK",New Jersey,77,1430:11,31,47,26,78,247,320,395,12.55,1.30,1.97,1.09,3.27,10.36,13.42,16.57,32.3,49.0,81.2
20,"LEINO, VILLE",Detroit,13,165:11,5,4,2,9,17,24,36,29.41,1.82,1.45,0.73,3.27,6.17,8.72,13.08,31.2,25.0,56.2
21,"THORNTON, JOE",San Jose,82,1595:55,25,61,37,86,139,192,257,17.99,0.94,2.29,1.39,3.23,5.23,7.22,9.66,22.7,55.5,78.2
22,"KOZLOV, VYACHESLAV",Winnipeg,82,1411:25,26,50,26,76,165,226,279,15.76,1.11,2.13,1.11,3.23,7.01,9.61,11.86,25.7,49.5,75.2
23,"BACKSTROM, NICKLAS",Washington,82,1635:23,22,66,41,88,174,241,312,12.64,0.81,2.42,1.50,3.23,6.38,8.84,11.45,16.1,48.2,64.2
24,"SEDIN, DANIEL",Vancouver,81,1524:08,31,51,32,82,285,386,482,10.88,1.22,2.01,1.26,3.23,11.22,15.20,18.97,29.5,48.6,78.1
25,"KOVALCHUK, ILYA",Winnipeg,79,1721:42,43,48,30,91,275,407,587,15.64,1.50,1.67,1.05,3.17,9.58,14.18,20.46,33.9,37.8,71.7
26,"KREJCI, DAVID",Boston,82,1381:58,22,51,28,73,146,188,216,15.07,0.96,2.21,1.22,3.17,6.34,8.16,9.38,22.4,52.0,74.5
27,"SEDIN, HENRIK",Vancouver,81,1583:35,22,60,31,82,141,179,221,15.60,0.83,2.27,1.17,3.11,5.34,6.78,8.37,20.6,56.1,76.6
28,"KESSEL, PHIL",Boston,70,1159:12,36,24,13,60,232,316,403,15.52,1.86,1.24,0.67,3.11,12.01,16.36,20.86,45.0,30.0,75.0
29,"HUDLER, JIRI",Detroit,81,1106:30,23,34,18,57,154,202,248,14.94,1.25,1.84,0.98,3.09,8.35,10.95,13.45,28.0,41.5,69.5
30,"CONNOLLY, TIM",Buffalo,48,917:07,18,29,18,47,127,174,215,14.17,1.18,1.90,1.18,3.07,8.31,11.38,14.07,24.3,39.2,63.5
31,"WHITNEY, RAY",Carolina,82,1505:51,24,53,34,77,219,296,377,10.96,0.96,2.11,1.35,3.07,8.73,11.79,15.02,23.5,52.0,75.5
32,"VANEK, THOMAS",Buffalo,73,1255:25,40,24,16,64,211,298,347,18.96,1.91,1.15,0.76,3.06,10.08,14.24,16.58,43.0,25.8,68.8
33,"IGINLA, JAROME",Calgary,81,1751:11,35,54,35,89,287,403,516,12.20,1.20,1.85,1.20,3.05,9.83,13.81,17.68,28.5,43.9,72.4
34,"SELANNE, TEEMU",Anaheim,65,1071:37,27,27,13,54,186,258,311,14.52,1.51,1.51,0.73,3.02,10.41,14.45,17.41,34.6,34.6,69.2
35,"MCDONALD, ANDY",St. Louis,46,877:29,15,29,15,44,128,173,216,11.72,1.03,1.98,1.03,3.01,8.75,11.83,14.77,25.0,48.3,73.3
36,"TANGUAY, ALEX",Montreal,50,804:31,15,25,16,40,75,114,141,20.00,1.12,1.86,1.19,2.98,5.59,8.50,10.52,23.1,38.5,61.5
37,"PERRY, COREY",Anaheim,78,1450:55,32,40,28,72,283,388,443,11.31,1.32,1.65,1.16,2.98,11.70,16.05,18.32,30.8,38.5,69.2
38,"SETOGUCHI, DEVIN",San Jose,81,1313:23,31,34,14,65,246,335,437,12.60,1.42,1.55,0.64,2.97,11.24,15.30,19.96,31.3,34.3,65.7
39,"WHITE, TODD",Winnipeg,82,1480:36,22,51,31,73,150,178,206,14.67,0.89,2.07,1.26,2.96,6.08,7.21,8.35,19.1,44.3,63.5
40,"HEMSKY, ALES",Edmonton,72,1342:00,23,43,24,66,185,231,333,12.43,1.03,1.92,1.07,2.95,8.27,10.33,14.89,27.7,51.8,79.5
#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,Sh%,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
41,"CARTER, JEFF",Philadelphia,82,1717:40,46,38,23,84,342,458,587,13.45,1.61,1.33,0.80,2.93,11.95,16.00,20.50,40.7,33.6,74.3
42,"AUCOIN, KEITH",Washington,12,123:49,2,4,0,6,15,17,22,13.33,0.97,1.94,0.00,2.91,7.27,8.24,10.66,25.0,50.0,75.0
43,"EBBETT, ANDREW",Anaheim,48,665:41,8,24,15,32,100,134,153,8.00,0.72,2.16,1.35,2.88,9.01,12.08,13.79,17.4,52.2,69.6
44,"RYDER, MICHAEL",Boston,74,1104:22,27,26,14,53,185,242,312,14.59,1.47,1.41,0.76,2.88,10.05,13.15,16.95,29.7,28.6,58.2
45,"BOOTH, DAVID",Florida,72,1230:35,30,29,21,59,244,325,401,12.30,1.46,1.41,1.02,2.88,11.90,15.85,19.55,39.0,37.7,76.6
46,"GAGNE, SIMON",Philadelphia,79,1502:58,32,40,23,72,219,303,390,14.61,1.28,1.60,0.92,2.87,8.74,12.10,15.57,33.0,41.2,74.2
47,"ZETTERBERG, HENRIK",Detroit,76,1509:18,30,42,27,72,304,402,503,9.87,1.19,1.67,1.07,2.86,12.09,15.98,20.00,28.8,40.4,69.2
48,"WILLIAMS, JEREMY",Toronto,11,147:47,5,2,1,7,21,26,32,23.81,2.03,0.81,0.41,2.84,8.53,10.56,12.99,50.0,20.0,70.0
