Champion,RunnerUp,ConferenceElim,SemiElim,QuarterElim,TOI 5v5,TOI 5v4,TOI 5v3,TOI 4v5,TOI 4v4,TOI 4v3,TOI 3v5,TOI 3v4,TOI 3v3,5v5 TOI Tot,5v5 GF,5v5 GA,5v5 GF/60,5v5 SF/60,5v5 Sh%,5v5 GA/60,5v5 SA/60,5v5 Sv%,5v5 +-per60,5v4 TOI Tot,5v4 GF,5v4 GA,5v4 GF/60,5v4 SF/60,5v4 Sh%,5v4 GA/60,5v4 SA/60,5v4 Sv%,5v4 +-per60,4v5 TOI Tot,4v5 GF,4v5 GA,4v5 GF/60,4v5 SF/60,4v5 Sh%,4v5 GA/60,4v5 SA/60,4v5 Sv%,4v5 +-per60
0,0,0,0,1,49,5.5,0.1,4.3,2.1,0.1,0,0.1,0,4017.6,176,150,2.6,32.9,920,2.2,27.6,919,0.4,452,47,6,6.2,63.7,902,0.8,9.4,915,5.4,355.2,8,31,1.4,9.5,857,5.2,44.1,881,-3.9
0,0,0,0,1,47.4,5.3,0.1,5.8,2.1,0.1,0.1,0.1,0,3884.3,168,134,2.6,29,911,2.1,25.8,920,0.5,437.5,50,6,6.9,47.2,855,0.8,6.4,872,6,475.6,6,38,0.8,8.6,912,4.8,42.6,888,-4
0,0,0,0,1,46.5,5.7,0.2,6.4,1.8,0.1,0.2,0,0,3816.8,161,165,2.5,29.2,913,2.6,31.1,916,-0.1,463.6,56,11,7.2,54.6,867,1.4,8.9,841,5.8,527.7,8,43,0.9,11.1,918,4.9,42.4,885,-4
0,0,0,0,1,47.7,5.5,0.1,5.6,1.6,0.1,0.1,0.1,0,3908.5,159,148,2.4,28.7,915,2.3,30,924,0.2,451,47,8,6.3,51.8,879,1.1,7.3,855,5.2,458.1,8,47,1,9.7,892,6.2,56.6,891,-5.1
0,0,0,0,1,48.3,5.3,0.1,5.4,1.8,0.1,0.1,0,0,3960.3,164,144,2.5,30.1,918,2.2,28,922,0.3,431.4,46,7,6.4,42,848,1,7.5,870,5.4,445.4,10,49,1.3,7.9,831,6.6,54.8,880,-5.3
0,0,0,0,1,47.9,5.8,0.1,4.8,1.9,0.1,0.2,0,0,3925.4,170,160,2.6,30.4,914,2.4,29.2,916,0.2,477.5,45,5,5.7,54.9,897,0.6,10.2,938,5,395,8,43,1.2,9.9,877,6.5,55.3,882,-5.3
0,0,0,0,1,49.1,4.9,0.2,5,1.5,0.1,0.1,0.1,0,4027.8,183,160,2.7,29,906,2.4,31.7,925,0.3,404.2,43,1,6.4,48.1,867,0.1,7.7,981,6.2,407.9,3,40,0.4,7.4,940,5.9,57.2,897,-5.4
0,0,0,0,1,47.7,5.4,0.2,5.7,2,0.1,0.2,0.1,0,3907.6,160,157,2.5,29.2,916,2.4,28.6,916,0,440.6,45,5,6.1,52.6,883,0.7,6.9,902,5.4,463.9,3,45,0.4,7.4,947,5.8,48.9,881,-5.4
0,0,0,0,1,45.8,6.2,0.1,6.2,2.3,0.1,0.2,0.1,0,3757.8,157,139,2.5,31.1,919,2.2,28.3,922,0.3,505.6,44,6,5.2,47.5,890,0.7,7.5,905,4.5,511.6,13,38,1.5,10.3,852,4.5,44.3,899,-2.9
0,0,0,0,1,47.8,5.8,0.2,5.1,1.7,0.1,0.1,0,0,3921.7,157,144,2.4,29.2,918,2.2,29.2,925,0.2,477.4,44,5,5.5,48.6,886,0.6,9.6,934,4.9,419.7,11,37,1.6,8.7,820,5.3,49,892,-3.7
0,0,0,0,1,47.6,5.9,0.1,5.3,1.7,0.1,0.1,0.1,0,3903.4,154,144,2.4,27.9,915,2.2,27.9,921,0.2,484.2,43,6,5.3,50.4,894,0.7,6.1,878,4.6,436.3,4,34,0.6,7.3,925,4.7,48.1,903,-4.1
0,0,0,0,1,46.5,5.4,0.1,6.3,1.8,0.1,0.2,0.1,0,3816.4,141,143,2.2,31.6,930,2.2,30,925,0,443.7,50,6,6.8,53.6,874,0.8,11,926,6,518.7,5,41,0.6,11.1,948,4.7,48.5,902,-4.2
0,0,0,0,1,47.6,5.3,0.1,5.6,1.9,0.1,0.2,0.1,0,3901.2,171,152,2.6,32.3,918,2.3,29.6,921,0.3,431.5,48,13,6.7,55.3,879,1.8,9.6,812,4.9,455.8,2,40,0.3,7.5,965,5.3,50.9,897,-5
0,0,0,0,1,47.6,5.3,0.1,5.8,1.7,0.1,0.2,0.1,0,3904.8,146,163,2.2,26.8,916,2.5,31.4,920,-0.3,434.3,59,7,8.2,59.4,863,1,8.2,881,7.2,477.6,7,54,0.9,6.8,870,6.8,56.3,879,-5.9
0,0,0,0,1,49,5.3,0.1,5,1.4,0,0.1,0.1,0,4014.2,178,157,2.7,31.7,916,2.3,27.5,915,0.3,431.2,60,4,8.3,50.8,836,0.6,9.9,944,7.8,408.6,6,49,0.9,8.5,897,7.2,53.6,866,-6.3
0,0,0,0,1,47.7,5.6,0.1,5.3,1.7,0.1,0.2,0.2,0,3910.7,172,139,2.6,30.3,913,2.1,30.9,931,0.5,456.2,41,6,5.4,47.5,886,0.8,9.5,917,4.6,437.5,5,56,0.7,7,902,7.7,61.4,875,-7
0,0,0,0,1,47.8,5.4,0.2,5.4,1.9,0.1,0.1,0.1,0,3920.4,196,169,3,33,909,2.6,27.1,905,0.4,440.6,49,10,6.7,56.5,882,1.4,11.3,880,5.3,440,10,30,1.4,8.9,846,4.1,40.1,898,-2.7
0,0,0,0,1,49,4.9,0.1,4.8,1.6,0.3,0.2,0.1,0,4016.3,201,152,3,32,906,2.3,29.2,922,0.7,400.4,41,1,6.1,46.6,868,0.1,8.5,982,6,395.2,8,34,1.2,12,899,5.2,49.5,896,-3.9
0,0,0,0,1,47.3,5.3,0.2,5.7,2.4,0.1,0.1,0.1,0,3881.1,167,139,2.6,30.1,914,2.1,30.1,929,0.4,433,50,5,6.9,56.1,877,0.7,8.9,922,6.2,468.4,7,39,0.9,8.6,896,5,52.4,905,-4.1
0,0,0,0,1,47.4,5.1,0.1,6,1.8,0.1,0.1,0.1,0,3886.5,178,162,2.7,31.7,913,2.5,30.7,918,0.2,419.6,43,7,6.1,47.6,871,1,11.6,914,5.1,495,9,52,1.1,10.1,892,6.3,52.9,881,-5.2
0,0,0,0,1,47.8,5.7,0.1,5.3,1.7,0.1,0.1,0,0,3922.5,186,133,2.8,31.8,910,2,26.3,923,0.8,470.4,45,11,5.7,50,885,1.4,8,825,4.3,437,2,47,0.3,8.2,967,6.5,46.5,861,-6.2
0,0,0,0,1,48.9,5.6,0.1,4.6,1.8,0.1,0,0,0,4013.8,186,171,2.8,31.2,911,2.6,27.8,908,0.2,458.4,37,3,4.8,45.8,894,0.4,5.5,929,4.5,377.2,7,48,1.1,8.1,863,7.6,56,864,-6.5
0,0,0,0,1,48.9,5.6,0.1,4.5,1.9,0.1,0.1,0,0,4008.6,138,149,2.1,28.6,928,2.2,29.8,925,-0.2,461,48,6,6.2,48.8,872,0.8,7,889,5.5,370.5,3,44,0.5,8.1,940,7.1,54.3,869,-6.6
0,0,0,0,1,49.4,5.3,0.1,4.2,1.9,0.1,0.1,0.1,0,4050.9,153,140,2.3,32.3,930,2.1,27.9,926,0.2,433.1,53,4,7.3,62.9,883,0.6,7.6,927,6.8,347.6,3,44,0.5,5.7,909,7.6,50.6,850,-7.1
0,0,0,0,1,46.7,5.9,0.1,5.6,2.1,0.1,0.1,0.1,0,3827.5,165,152,2.6,31.4,918,2.4,30.9,923,0.2,487.5,49,3,6,49.8,879,0.4,13.7,973,5.7,460.2,4,33,0.5,7.6,931,4.3,49.5,913,-3.8
0,0,0,0,1,46.8,5.5,0.2,6.1,1.8,0.1,0.2,0,0,3839.3,159,179,2.5,29.3,915,2.8,26.6,895,-0.3,453.5,42,4,5.6,47.9,884,0.5,9.5,944,5,497.4,6,46,0.7,9.7,925,5.5,55.5,900,-4.8
0,0,0,0,1,46.5,6.2,0.1,6,2.3,0.1,0.1,0.1,0,3812,157,138,2.5,30.4,919,2.2,28.3,923,0.3,508.6,44,6,5.2,44.8,884,0.7,8,912,4.5,489.5,3,42,0.4,9.3,961,5.1,53.7,904,-4.8
0,0,0,0,1,48.9,5.1,0.2,4.8,1.7,0.1,0.1,0,0,4009.9,156,136,2.3,28.7,919,2,26.8,924,0.3,420.3,47,5,6.7,50.4,867,0.7,8.1,912,6,395,7,40,1.1,10.8,901,6.1,43.4,860,-5
0,0,0,0,1,47,5.9,0.2,5.8,1.8,0.1,0.1,0.1,0,3852.6,166,154,2.6,27.4,906,2.4,31.3,923,0.2,484,48,9,6,49.1,879,1.1,10.2,890,4.8,477.5,8,57,1,6.7,849,7.2,54.2,868,-6.2
0,0,0,0,1,46.9,5.6,0.2,5.9,2.2,0.1,0.1,0.1,0,3843.1,153,139,2.4,28.1,915,2.2,26.4,918,0.2,457.9,57,6,7.5,51.1,854,0.8,8.5,908,6.7,485.1,4,54,0.5,7.4,933,6.7,49,864,-6.2
0,0,0,0,1,47,5.5,0.3,6,2,0,0.2,0.1,0,3853.8,225,140,3.5,31.9,890,2.2,30,927,1.3,450.3,69,8,9.2,56.6,838,1.1,9.9,892,8.1,488.8,4,59,0.5,10.7,954,7.2,50,855,-6.8
